# a446b52c-49da-431b-b022-cb14373c657d
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0908303; -3.2644623; -1.5651692; -0.1545562; 5.4981306; 0.5556735
0.1986151; 0.2902602; -3.2661248; -1.5909992; -0.0915310; 5.5181673; -9.0802816
0.3972303; 0.4881880; -3.2719726; -1.6113252; -0.1288228; 5.1810431; -6.9282041
0.5958454; 0.6858551; -3.2830882; -1.6462335; -0.2305791; 4.9082701; -4.9798243
0.7944606; 0.8829124; -3.3032017; -1.7024262; -0.3375221; 4.7024438; -3.6573997
0.9930757; 1.0784908; -3.3363992; -1.7782756; -0.4238550; 4.5453436; -2.8902830
1.1916909; 1.2709088; -3.3859464; -1.8694220; -0.4869302; 4.4172435; -2.4210780
1.3903060; 1.4578424; -3.4539425; -1.9715895; -0.5364287; 4.3070076; -2.0052863
1.5889212; 1.6364669; -3.5414838; -2.0829808; -0.5830169; 4.2135204; -1.5692080
1.7875363; 1.8034631; -3.6488634; -2.2030228; -0.6289582; 4.1388908; -1.0300581
1.9861515; 1.9557698; -3.7761626; -2.3324706; -0.6761015; 4.0891621; -0.4387486
2.1847666; 2.0897103; -3.9227806; -2.4715569; -0.7187467; 4.0677958; -0.3292017
2.3833817; 2.2013049; -4.0868349; -2.6175394; -0.7309855; 4.0516902; -0.3292017
2.5819969; 2.2880795; -4.2652086; -2.7587827; -0.6850830; 4.0355204; 0.5165536
2.7806120; 2.3501639; -4.4537339; -2.8847550; -0.5831486; 4.0608639; 2.0528264
2.9792272; 2.3898673; -4.6475392; -2.9912873; -0.4904837; 4.1600554; 3.1646121
3.1778423; 2.4104720; -4.8439426; -3.0815123; -0.4434542; 4.3084963; 3.3958428
3.3764575; 2.4138205; -5.0426913; 3.1159816; -0.4237037; 4.4622945; 3.1638749
3.5750726; 2.4002686; -5.2417932; 3.0312256; -0.4253693; 4.6009628; 2.5709081
3.7736878; 2.3704097; -5.4365996; 2.9480038; -0.4193777; 4.7106371; 2.2489779
3.9723029; 2.3239566; -5.6303529; 2.8647104; -0.4141039; 4.8045253; 1.9781444
4.1709181; 2.2616772; -5.8196101; 2.7828044; -0.4094681; 4.8856159; 1.7476442
4.3695332; 2.1847924; -6.0019523; 2.7027635; -0.3979250; 4.9561537; 1.7330015
4.5681483; 2.0929408; -6.1791292; 2.6241263; -0.3885515; 5.0251229; 1.6819647
4.7667635; 1.9884932; -6.3474714; 2.5489970; -0.3710550; 5.0911676; 1.8624740
4.9653786; 1.8714912; -6.5082666; 2.4767228; -0.3522166; 5.1633147; 2.0753460
5.1639938; 1.7435457; -6.6604448; 2.4089826; -0.3301258; 5.2425384; 2.3756000
5.3626089; 1.6061082; -6.8037247; 2.3460037; -0.3020091; 5.3317792; 2.8444476
5.5612241; 1.4600167; -6.9387657; 2.2887227; -0.2745385; 5.4367058; 3.2925190
5.7598392; 1.3071291; -7.0654333; 2.2378192; -0.2386216; 5.5556870; 4.0158235
5.9584544; 1.1482591; -7.1848162; 2.1936868; -0.2075453; 5.6974437; 4.6119469
6.1570695; 0.9846204; -7.2974983; 2.1547362; -0.1846666; 5.8560115; -4.0411315
6.3556847; 0.8168754; -7.4040978; 2.1188787; -0.1906406; 5.7173080; -5.6668087
6.5542998; 0.6453962; -7.5040968; 2.0773566; -0.2281317; 5.5169359; -4.9228392
6.7529149; 0.4691787; -7.5964102; 2.0280047; -0.2685399; 5.3367669; -4.1711779
6.9515301; 0.2890672; -7.6788367; 1.9705205; -0.3119106; 5.1792049; -4.0397223
7.1501452; 0.1031351; -7.7505040; 1.9060821; -0.3356937; 5.0218984; -3.8579914
7.3487604; -0.0864203; -7.8093567; 1.8366526; -0.3637874; 4.8669243; -3.6197138
7.5473755; -0.2798889; -7.8543911; 1.7612527; -0.3967109; 4.7168943; -3.2835019
7.7459907; -0.4766916; -7.8840702; 1.6783945; -0.4362190; 4.5765474; -2.8557372
7.9446058; -0.6738051; -7.8965156; 1.5877923; -0.4816425; 4.4508876; -2.5815138
8.1432210; -0.8731860; -7.8900714; 1.4878570; -0.5214383; 4.3341602; -2.2718469
8.3418361; -1.0698266; -7.8631215; 1.3799175; -0.5640576; 4.2287703; -1.8503773
8.5404513; -1.2614001; -7.8145895; 1.2638692; -0.6119554; 4.1409507; -1.3883501
8.7390664; -1.4474045; -7.7425555; 1.1371975; -0.6594644; 4.0738161; -0.8883145
8.9376815; -1.6215190; -7.6472260; 1.0010517; -0.7041395; 4.0302745; -0.3231566
9.1362967; -1.7798767; -7.5291537; 0.8576523; -0.7446596; 4.0143175; -0.3231566
9.3349118; -1.9207941; -7.3881313; 0.7138524; -0.7013599; 3.9982968; 0.4672137
9.5335270; -2.0406997; -7.2287336; 0.5775050; -0.6593251; 4.0214386; 1.0131112
9.7321421; -2.1382493; -7.0557382; 0.4510960; -0.6045276; 4.0711678; 1.6479387
9.9307573; -2.2142303; -6.8730506; 0.3402678; -0.5112494; 4.1507853; 2.8461729
10.1293724; -2.2715793; -6.6837626; 0.2533203; -0.3585645; 4.2848109; 4.9318261
10.3279876; -2.3155294; -6.4907895; 0.2014947; -0.1632981; 4.5076241; 4.8925399
10.5266027; -2.3527315; -6.2968306; 0.1814444; -0.0644345; 4.7182772; 4.8535667
10.7252179; -2.3868267; -6.1023207; 0.1638876; -0.1356655; 4.9183456; 4.8149039
10.9238330; -2.4156486; -5.9049295; 0.1220449; -0.2651856; 5.1090850; 4.5544751
11.1224481; -2.4337076; -5.7085527; 0.0578966; -0.3717977; 5.2831738; -1.4186168
11.3210633; -2.4376274; -5.5114397; -0.0188437; -0.3992740; 5.2295705; -1.2634538
11.5196784; -2.4256458; -5.3111538; -0.1014177; -0.4199766; 5.1813633; -0.9587595
11.7182936; -2.3971746; -5.1143207; -0.1864586; -0.4372444; 5.1444803; -0.8380053
11.9169087; -2.3519009; -4.9212740; -0.2745024; -0.4471794; 5.1120246; -0.5199119
12.1155239; -2.2889348; -4.7311028; -0.3655209; -0.4628510; 5.0917847; -0.5199119
12.3141390; -2.2099906; -4.5500611; -0.4569274; -0.4644414; 5.0714639; -0.5063715
12.5127542; -2.1138273; -4.3755075; -0.5504291; -0.4702452; 5.0515938; -0.5117366
12.7113693; -2.0023297; -4.2114385; -0.6432302; -0.4666986; 5.0314335; -0.3222857
12.9099845; -1.8757918; -4.0580246; -0.7359806; -0.4611629; 5.0186952; -0.1205409
13.1085996; -1.7358949; -3.9170076; -0.8265324; -0.4518588; 5.0139225; 0.1363997
13.3072147; -1.5836959; -3.7889208; -0.9153668; -0.4374707; 5.0193228; 0.4733195
13.5058299; -1.4213391; -3.6748423; -1.0008384; -0.4255659; 5.0380173; 0.6894588
13.7044450; -1.2490066; -3.5743256; -1.0840163; -0.4070276; 5.0651251; 1.0430246
13.9030602; -1.0707113; -3.4888654; -1.1633068; -0.3959178; 5.1058606; 1.1557056
14.1016753; -0.8837648; -3.4166792; -1.2407088; -0.3784094; 5.1506207; 1.4292193
14.3002905; -0.6936383; -3.3593669; -1.3150035; -0.3670459; 5.2054417; 1.5109141
14.4989056; -0.4999871; -3.3160706; -1.3861498; -0.3514947; 5.2627753; 1.7093036
14.6975208; -0.3011556; -3.2860639; -1.4552091; -0.3330822; 5.3268932; 1.9794954
14.8961359; -0.1046231; -3.2696424; -1.5187528; -0.2993014; 5.4001951; 2.6869386
15.0947511; 0.0908303; -3.2644623; -1.5651692; -0.1545562; 5.4981306; 0.5556735
